id,conversation_id,customer_query,gold_intent,gold_escalation,gold_escalation_reason,reference_resolution,difficulty,annotator,annotation_date,verification_status
GOLD_001,b62b611bbaa281cfa6fa34063ed51767,i need help i send you my problem in privet message,OUT_OF_SCOPE_OTHER,ESCALATE,Customer already initiated private conversation; routing directly to Twitter DM queue.,Confirm DM received and request customer to monitor their direct messages.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_002,4bc681d9c061d73ab15f975260aa2423,It's been nearly two weeks and I've yet to get LTE on my Watch () working. Think I paid a premium for a spec of red paint.,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,Customer expresses ongoing frustration for two weeks after speaking to AppleCare; requires senior specialist.,Acknowledge the multi-week delay with deep empathy and invite customer to DM with their AppleCare case ID for executive priority review.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_003,b962328f87be977c2ad06c6409de26cd,"https://t.co/DcSrdWNuPm says ""Photos is locked"" and full-res photos can't be downloaded. Since about at least 3PM EST.",APPLE_ID_AND_ICLOUD,ESCALATE,"Account recovery, credential resets, and 2FA authentication cannot be safely resolved over public social channels.",Direct to iforgot.apple.com for self-service credential recovery or invite to DM for account status review.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_004,feeaaac8d95f2f447c65af4d006e5fcc,"Mira que me gusta vuestra actualización pero me va como el culo ahora, cuando queráis lo solucionáis.",OUT_OF_SCOPE_OTHER,ESCALATE,Non-English inquiry requires routing to native language support specialist.,Direct user to international Apple support portal or native language support agent.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_005,399dccc18eb75139a14f2ef8de9d1210,I updated to 11.0.2 and my phone is still getting frozen. What are you guys doing over there??,IOS_SOFTWARE_UPDATE,ESCALATE,Persistent unresolved OS bug or bricked update requires tier-2 engineering specialist.,"Apologize for ongoing disruption, request device model and build number in DM for specialized review.",HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_006,3252f589174612e4b09a16de6a230481,Major problems with my iPhone 6 #gps since the iOS update last week. Can't find my location to use Maps or Pokémon Go. 😡,IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_007,295cf2292ad0403164e9c1c40068dfe0,iOS 11 fail https://t.co/7cHNcUM18P,CUSTOMER_FEEDBACK_COMPLAINT,ESCALATE,High customer frustration or brand reputation risk requires empathetic senior human intervention.,Acknowledge frustration with utmost empathy and transfer to a senior support representative.,HARD,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_008,0b10aef6de935a0e15cd9f4769ce096c,I've had to do it multiple times when I reset my device and how do I change trusted device from old phone to new phone?,DEVICE_SETUP_AND_USAGE,AUTO_HANDLE,Standard product usage and UI how-to query can be immediately answered with public steps.,Provide step-by-step navigation instructions and relevant Apple Support Guide article.,EASY,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_009,019817c39eff50638b38ed8acfc65986,none of my photos have went onto my new iPhone device eventhough they were backed up and I've tried everything I know of m??,APPLE_ID_AND_ICLOUD,AUTO_HANDLE,Routine iCloud Photo Library sync settings troubleshooting available on-device.,"Guide user to Settings > [User Name] > iCloud > Photos to ensure iCloud Photo Library is enabled, device is connected to Wi-Fi, and storage is sufficient.",MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_010,5b3844b03bacdc8bb4f9ddb96c7d2672,"Please allow us to switch off Bluetooth &amp; Wifi in the control center again, it's really bugging a lot of iphone users!!!🙏🏼",IOS_SOFTWARE_UPDATE,AUTO_HANDLE,"Standard iOS software troubleshooting steps (force restart, storage check, update) apply.",Advise force restart and verifying Settings > General > Software Update.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
GOLD_011,336058b4c0587104a700d432a2d47097,"every few weeks ""my apply ID has been locked for security reasons"" and I have to go through and make a new pw. Why???",APPLE_ID_AND_ICLOUD,ESCALATE,"Account recovery, credential resets, and 2FA authentication cannot be safely resolved over public social channels.",Direct to iforgot.apple.com for self-service credential recovery or invite to DM for account status review.,MEDIUM,candidate_author,2026-09-11,MANUALLY_AUDITED
